time,open,high,low,close,Volume,Volume MA
-447589800,42.290001,42.290001,42.290001,42.290001,1660000,2075000
-447503400,42.34,42.34,42.34,42.34,1830000,2038500
-447417000,42.369999,42.369999,42.369999,42.369999,1720000,2017500
-447154200,42.34,42.34,42.34,42.34,1800000,1971500
-447067800,42.279999,42.279999,42.279999,42.279999,1590000,1950000
-446981400,42.349998,42.349998,42.349998,42.349998,1610000,1934500
-446895000,43.240002,43.240002,43.240002,43.240002,2260000,1963000
-446808600,43.959999,43.959999,43.959999,43.959999,2430000,1977000
-446549400,44.150002,44.150002,44.150002,44.150002,2230000,1933500
-446376600,44.610001,44.610001,44.610001,44.610001,2580000,1883000
-446290200,44.720001,44.720001,44.720001,44.720001,2550000,1915500
-446203800,45.240002,45.240002,45.240002,45.240002,2000000,1916500
-445944600,46.41,46.41,46.41,46.41,2760000,1972500
-445858200,46.209999,46.209999,46.209999,46.209999,2560000,2026500
-445771800,45.91,45.91,45.91,45.91,2460000,2072000
-445685400,45.59,45.59,45.59,45.59,2310000,2099500
-445599000,45.540001,45.540001,45.540001,45.540001,2320000,2107500
-445339800,45.220001,45.220001,45.220001,45.220001,1960000,2120000
-445253400,45.66,45.66,45.66,45.66,2270000,2142500
-445167000,45.720001,45.720001,45.720001,45.720001,2550000,2172500
-444994200,45.68,45.68,45.68,45.68,2190000,2199000
-444735000,45.380001,45.380001,45.380001,45.380001,2460000,2230500
-444648600,45.560001,45.560001,45.560001,45.560001,2370000,2263000
-444562200,45.509998,45.509998,45.509998,45.509998,2900000,2318000
-444475800,45.349998,45.349998,45.349998,45.349998,2370000,2357000
-444389400,45.439999,45.439999,45.439999,45.439999,2400000,2396500
-444130200,45.700001,45.700001,45.700001,45.700001,2440000,2405500
-444043800,45.700001,45.700001,45.700001,45.700001,2540000,2411000
-443957400,45.549999,45.549999,45.549999,45.549999,2480000,2423500
-443871000,45.82,45.82,45.82,45.82,2970000,2443000
-443784600,45.889999,45.889999,45.889999,45.889999,2660000,2448500
